Node,Degree_unweighted
21361,1
20613,2
21320,1
20594,2
19044,4
19052,4
34946,1
32382,4
18256,3
16976,3
17948,4
19200,3
20102,1
19042,3
16972,4
17580,4
19066,3
18349,1
18350,3
26166,1
23710,4
18358,3
18359,1
18458,2
17005,4
18028,3
18175,1
18526,3
11224,3
19177,4
27272,1
27268,4
23671,4
16172,3
17227,3
17421,4
18831,1
30306,1
29732,3
52478,1
52234,3
12633,3
26930,3
22334,3
26911,4
46281,1
46282,2
6244,1
6243,3
6245,2
6281,3
7115,2
7282,3
6661,3
47143,2
47144,2
47070,1
47069,4
26903,3
27255,3
26645,1
26646,4
28176,3
28151,4
6663,1
6938,3
6504,3
9329,4
6799,3
28400,3
29998,4
7035,4
6800,1
26648,1
26760,4
7745,3
47091,2
6531,3
21521,1
21146,4
44788,3
49227,3
29996,3
31736,3
30008,4
31727,4
15249,1
14278,4
28418,4
52718,1
52118,3
7728,2
8777,2
31008,4
32371,3
30885,1
30886,4
10949,3
13282,3
34504,4
34485,3
52117,2
53507,1
5862,3
12723,3
13197,3
16702,1
5861,1
5546,3
44787,3
47086,3
9330,2
20190,1
19118,4
8160,3
12211,1
12212,4
50560,3
44720,3
24567,4
43620,4
50516,3
36930,1
10703,3
34682,4
34643,4
39502,1
20334,4
21166,4
43619,1
38226,4
50074,4
34202,1
30890,4
30016,3
28428,3
26810,4
24667,3
21182,4
20025,4
50662,3
19121,3
17427,3
50674,2
30156,3
30924,4
52646,4
16488,1
16487,3
17251,3
17431,3
16913,3
17240,3
16785,3
17177,3
16774,3
16484,3
17316,1
17314,3
5545,1
15888,1
15883,3
16446,3
16687,3
17435,3
17060,3
16402,2
16960,1
16959,3
16897,3
17035,3
6856,2
16751,3
28429,1
16825,3
35415,3
35440,4
16903,3
17141,3
16401,2
16881,3
17439,3
17117,3
24813,4
21210,4
20027,3
17442,3
7358,4
9233,3
29274,3
16799,3
17101,3
16525,3
16757,3
16985,3
17446,3
9791,3
9757,3
10485,3
9043,4
10620,3
16995,3
10779,3
30982,4
10787,4
16167,3
10898,1
9641,3
10336,3
17245,3
17255,3
18446,1
17271,3
10576,3
10784,3
10155,3
9355,3
9457,3
10491,3
29088,3
49803,3
10369,3
10738,3
10131,3
10277,3
9603,2
9905,3
10266,3
9561,3
10384,3
28972,2
29293,3
12414,3
9798,4
29068,3
29712,3
5891,1
5892,2
8032,3
17258,1
9816,3
28954,3
28224,3
28932,3
24912,3
26844,4
24051,3
23218,4
23862,3
24297,3
24088,3
24518,4
28538,3
25432,3
7151,2
29137,3
21272,4
7152,2
54695,1
54201,3
7357,2
22923,3
27766,4
6136,4
52710,2
53668,1
19424,2
17275,3
54173,2
54174,3
24443,4
25204,3
28132,3
33108,1
33107,3
25181,3
22682,3
9294,3
25764,3
17124,3
17105,4
25644,3
26594,3
25182,1
54528,4
27765,1
27742,3
25148,3
28916,1
28486,3
54688,1
28002,3
26568,3
32447,1
32448,3
24219,3
24644,3
54529,1
54680,1
24659,2
26866,4
28980,3
17709,3
17473,3
17670,3
17836,3
17452,3
16803,3
17128,3
25612,3
25010,3
25376,3
17051,3
8225,3
25048,3
28750,3
17600,3
54176,1
22681,3
24034,3
32691,1
32692,4
32449,1
32452,4
32863,2
32860,4
33104,3
25260,3
16969,3
17508,3
23752,4
32453,1
32456,4
32696,4
32857,3
33098,3
25158,3
35560,3
36354,4
35529,4
23890,1
32457,1
32460,4
32604,1
17832,3
32852,3
33088,3
16804,3
23640,3
17400,3
17260,3
32600,1
32461,1
32847,3
17202,4
32700,3
17828,3
32845,3
33084,3
32702,1
23998,3
23934,1
36099,1
36098,4
36193,1
36194,4
35973,1
35974,4
33080,3
35873,1
35874,4
31012,4
32218,3
35610,4
35532,1
35579,3
34533,3
34433,3
34829,3
34835,3
34434,1
34440,3
34442,1
34448,3
10018,3
13450,3
26942,4
32840,1
32658,3
36356,4
36450,3
36198,1
36104,1
23160,3
35978,1
35646,3
35613,4
32648,3
32760,1
32519,3
32632,3
36454,3
35701,4
35722,4
33072,4
36370,3
6135,2
32676,3
32670,4
48950,3
50436,3
34841,3
33023,3
33766,3
34804,3
35332,3
32669,1
33016,3
33324,1
6137,1
7362,3
32981,3
34354,3
32672,4
33009,3
49082,3
38249,4
36248,4
35739,3
35148,3
35168,3
34728,3
34733,3
34357,3
33270,1
33001,3
32999,3
32674,1
32684,4
34730,3
34365,3
32995,3
33212,1
32996,1
32991,3
35170,3
35789,3
34367,1
34371,3
32686,1
32688,4
53056,1
34373,4
35264,3
35865,3
35276,4
35172,3
32520,1
34375,1
34393,3
32596,3
32706,4
32397,3
64197,1
64198,3
35394,3
35895,3
35392,3
35270,3
35174,3
64236,1
64235,4
31953,3
31363,3
31957,3
32203,3
64279,1
64280,4
32195,3
32370,2
22276,4
64317,1
64318,4
21298,4
32342,3
32081,3
32191,4
31734,3
32341,3
32726,4
36173,3
47824,3
31656,3
31726,3
32047,3
8172,3
32048,3
32134,3
32345,3
32182,4
65778,3
65874,1
65774,4
31355,3
65745,4
65681,3
31908,3
32096,3
32062,3
32178,3
8161,3
7536,1
31808,1
31780,3
30928,4
31030,4
10116,3
9460,3
36000,4
36207,4
7929,3
8472,3
38692,1
38255,3
8782,1
37066,4
37041,4
36258,3
59940,1
59939,2
32774,4
9473,3
31036,4
30773,3
40540,3
27000,3
21784,4
19520,4
21364,4
8572,1
8332,3
57271,1
57272,3
15960,3
7930,1
30140,4
31054,4
32548,4
8316,3
16192,3
17718,4
53158,1
52740,3
57226,3
59840,3
21514,4
8752,3
9086,3
6748,3
8854,3
8856,1
9292,1
23533,3
52342,3
53131,3
14072,4
37053,2
38814,4
57225,1
38787,4
54204,1
26020,3
25552,3
26021,3
26260,2
25468,3
25554,3
21516,1
22524,3
26025,4
25558,3
25210,3
25474,3
25631,3
26038,3
25635,3
25482,3
65806,3
65733,3
36184,4
146640,1
146518,3
36986,1
66082,2
26050,3
35697,3
66047,2
23029,4
25346,3
145117,1
145118,3
66112,4
24961,3
26371,3
26375,3
26513,3
26058,4
32778,4
31102,4
65908,4
30142,1
34093,1
34087,3
35698,1
32818,4
33462,2
50833,3
27018,4
34330,1
34329,3
26291,3
26284,3
25381,3
26062,3
25339,3
25386,3
25049,3
25341,3
25336,3
24962,1
25335,3
25379,3
25412,3
33790,1
33759,3
34763,3
34634,3
35089,3
34238,2
34088,1
22020,4
34822,3
35447,5
26078,3
35448,1
25037,1
24967,3
25139,1
66964,1
66280,3
33847,3
35156,3
35445,3
59850,2
34268,3
34772,3
24907,4
34852,3
34248,3
34464,1
33893,3
34457,4
35010,3
33850,2
25827,3
25349,3
25812,3
26397,3
9290,1
9289,1
59872,3
34407,3
26296,3
26738,4
27072,4
29401,4
57432,3
34889,3
59750,3
62776,4
35696,1
35311,3
25149,3
25539,2
145120,2
26990,1
34709,3
25542,3
26983,1
66667,1
66481,2
25838,3
147264,1
57440,3
25235,4
25188,3
34476,1
66977,1
66976,3
24649,3
66836,1
66754,3
34701,3
35094,2
66604,3
34635,3
66980,1
35314,3
66686,3
66945,2
66482,3
67244,2
24790,3
35316,1
34563,4
34350,3
66930,3
66957,3
66947,3
66981,1
24315,3
66504,3
65907,2
65910,2
66946,3
49213,1
48792,3
67243,1
142911,1
142912,2
66538,3
34345,4
34352,1
66942,3
39049,2
40467,4
66608,3
66636,3
66629,3
66898,3
24316,1
66889,3
66926,3
66689,3
66711,3
66840,3
66884,3
39060,3
39025,4
67021,1
67010,3
50275,3
50113,3
50278,3
50649,3
31224,3
32874,1
31170,1
29416,3
27142,4
50370,4
50540,4
67004,3
66656,2
50844,3
39442,4
42559,3
66700,3
67075,1
67072,3
67080,1
36835,2
36836,3
37001,3
37398,3
37675,3
37623,3
38295,3
39142,3
39075,4
38290,3
67108,1
37553,3
38112,2
50839,3
36842,3
37916,3
38078,3
6747,1
39193,3
38187,3
50110,4
37998,4
50830,3
50109,1
38072,3
49247,3
38307,3
66972,4
66991,3
67223,1
66996,3
40436,1
40426,3
38200,3
39165,3
50857,4
67230,1
40386,3
40570,3
36848,3
37790,3
39223,4
60562,3
39331,3
38352,3
38001,3
38736,1
40053,1
39938,3
40169,1
40048,3
40267,1
40156,3
42517,4
44628,1
69125,1
69126,1
69245,1
69246,1
39225,1
69540,1
69539,1
69677,1
69678,1
38843,4
39395,3
39546,4
39469,3
36858,3
37576,3
39527,3
39550,4
17465,4
27158,4
138707,1
138708,1
40094,3
39214,3
39486,4
39866,3
40438,3
40270,4
36862,3
37342,3
41122,4
38704,1
38602,3
37499,3
37990,2
37952,3
38439,3
37953,1
37428,3
38601,1
38817,3
39037,3
68608,1
68594,3
37840,3
39245,3
39282,4
38690,3
38280,4
62828,2
62839,2
36962,3
37946,3
72438,1
72437,1
62790,3
40144,4
60764,4
37810,3
60776,3
73004,1
72950,3
68584,3
69314,2
69307,3
73457,1
73426,4
73544,1
73480,3
73599,1
73442,4
73649,1
73516,4
39242,3
42442,3
48781,4
40744,3
39040,4
39092,4
39780,3
38155,3
38530,3
6083,1
6084,3
69298,3
69670,3
70356,1
70344,3
74483,1
74476,3
38333,4
75104,1
75102,3
67898,2
67890,3
68002,3
67982,3
68238,3
68222,3
68460,3
39524,3
68450,3
68698,3
68689,3
68844,3
68826,3
69024,3
69008,3
72076,3
69267,3
70783,1
70751,3
37250,3
37616,3
69649,3
70000,3
71224,1
71192,3
71702,1
71598,3
69985,3
70333,3
76140,1
75100,3
73336,4
73400,3
38156,1
47604,4
58455,2
49560,3
38174,3
40006,4
77792,1
77791,3
37950,3
68422,3
68676,3
39015,3
78515,1
78493,3
39388,3
77795,3
75094,3
38120,3
38603,3
67889,1
6751,3
72020,3
72486,3
79194,1
79187,3
40360,3
69254,3
70744,3
38374,3
38865,3
79734,1
79727,3
38638,3
39323,4
68086,3
68070,3
80108,1
80049,3
68350,3
68338,3
77801,3
75086,3
69652,3
69625,3
69996,3
69987,3
71870,3
71861,3
78480,3
79902,4
72562,3
72452,3
73192,4
73376,3
39771,3
53112,4
144759,2
53142,4
143946,3
67907,1
67908,3
67888,3
68052,3
68311,3
68555,3
68551,3
68733,3
81502,1
80966,3
68714,3
68879,3
68870,3
69263,3
79711,3
77700,3
77696,3
79720,3
74670,3
74668,3
73447,3
73019,3
73246,3
69247,3
69601,3
39967,2
69977,3
70969,3
70966,3
71497,3
71461,3
71851,3
71844,3
69959,3
72700,1
70954,3
67606,1
67605,3
67656,1
77690,3
79512,3
67740,1
67636,3
68860,3
69061,3
77688,3
74434,3
74436,3
69054,3
73395,3
69953,3
67798,1
67738,3
69926,4
27374,3
70878,4
68044,3
39398,4
39343,3
71449,3
72670,1
68548,3
79357,3
77684,3
67582,3
39465,4
39532,4
72890,1
72880,4
67581,1
68040,3
68539,3
68706,3
69048,3
71422,3
72280,2
72276,4
76942,3
77682,3
74622,3
76936,3
74603,3
73323,3
78634,3
143375,2
77678,3
68032,4
68538,3
143260,3
12762,4
68020,3
68334,3
68226,3
74604,1
68658,3
74594,3
68626,3
75322,3
76928,3
69780,3
70863,3
72271,3
72881,1
73070,4
73122,3
68019,1
48196,4
51441,4
68560,3
69336,1
70840,4
71357,3
71344,3
71829,3
71824,3
72266,3
76920,3
68014,3
73271,3
6085,1
67571,1
67572,3
67573,1
67766,3
76919,1
77672,4
39704,4
32576,4
39675,3
67761,3
67864,3
67855,3
46874,2
67762,1
68790,3
27282,3
68766,2
69002,3
67756,3
69004,1
69460,3
75758,3
75761,3
76864,3
76858,3
77697,3
79470,2
69462,1
69878,3
69880,1
70827,3
72658,3
67755,1
67856,1
67757,1
72434,3
76389,3
76854,3
75764,1
75765,3
72115,2
72117,3
70821,3
72954,3
74360,2
74359,1
74355,3
77723,3
78944,3
78950,3
76397,3
74352,3
72436,1
70822,1
74351,1
74347,3
76409,1
74343,3
74344,1
74337,3
74327,3
75238,3
75214,3
76366,2
137799,3
78958,1
77753,3
76370,4
40037,4
14896,3
40062,4
47320,3
74324,3
74790,3
74736,3
75316,3
75310,3
47519,3
76376,3
77805,3
148505,3
148367,3
148394,3
148627,2
74323,1
74313,3
47532,3
147176,2
47812,4
50123,4
148614,3
148515,4
148648,1
71848,4
73011,3
71978,4
74240,3
148516,1
74311,3
76380,3
148463,3
148597,1
44935,4
50135,4
77825,3
76386,3
148368,3
52353,1
52354,4
76392,3
148429,4
77835,3
76394,4
50124,1
148388,3
148485,1
77843,2
76404,2
148421,1
137719,1
137713,4
51445,3
51474,4
51447,3
51784,4
51933,3
137162,1
137161,3
34588,3
137495,3
137453,3
137490,4
137545,3
137544,4
137673,3
137399,3
137460,4
137670,4
137710,3
137747,3
137744,4
137763,3
137766,3
137369,3
137410,4
137329,3
137366,4
137299,3
137326,4
51449,3
51941,4
137601,1
137602,4
51945,3
137492,4
137610,4
137550,4
137665,4
137705,3
137455,4
137401,4
137357,4
137317,4
137295,4
51461,3
51955,2
137186,3
137233,3
137662,4
137704,4
137450,4
137618,4
137554,4
137396,4
137500,4
137360,4
137314,4
137293,3
52349,3
137215,3
51963,4
137111,1
137060,3
137558,4
137614,4
137484,4
137718,1
137680,3
137291,3
137447,3
137351,3
137389,3
137746,1
137309,3
137770,1
137445,3
137486,3
137562,3
137684,3
137114,3
137605,4
11243,4
137653,3
137599,3
137566,3
52335,3
51953,4
51463,3
137059,1
52212,3
51988,3
52344,3
51959,4
51469,3
137097,3
136546,3
137224,3
137699,3
52311,3
51695,3
51975,3
51698,3
51452,3
50145,4
51201,4
51688,3
51451,3
51848,3
41546,1
51453,3
51608,3
37439,3
40028,3
51926,4
41128,4
40039,1
41095,4
136894,3
136545,1
51662,3
51221,3
13919,4
136531,3
136506,1
136505,3
136584,3
136475,3
50149,4
136476,1
136478,1
136509,2
136610,3
147313,2
147314,2
136510,4
136704,3
11244,1
21823,4
139576,2
138932,2
140504,2
136622,4
46902,3
136557,4
46923,4
50157,4
136824,1
136792,3
136515,3
136773,3
144358,1
46739,1
46740,1
136516,1
12913,4
137250,2
45483,1
136677,3
42177,3
44821,4
148527,2
148528,3
15806,3
45727,1
44428,3
41805,3
132449,3
140571,1
140572,2
41436,4
148841,1
40152,3
41419,5
62574,1
57713,4
18668,3
38937,4
44423,3
46878,3
6709,1
6710,4
41450,4
41882,4
42794,3
138800,3
37429,4
38939,1
39840,3
137287,2
137288,2
42652,4
44140,3
25833,3
138394,3
44035,3
44723,3
36045,1
36046,4
43804,4
42651,1
42653,1
39723,3
41244,3
43878,3
43720,4
36482,1
36477,4
36770,1
36769,4
76842,1
43634,3
138408,3
138802,3
38995,3
39725,3
36476,3
36048,1
37424,4
38992,4
36050,4
36773,4
138454,1
42750,5
138502,1
138424,3
39729,4
45128,3
46762,3
37426,3
36779,4
38988,4
36051,1
45126,3
36054,3
44729,3
138527,1
39965,1
39962,3
70940,3
71068,4
37446,3
37872,3
37875,1
38020,3
39960,3
38023,1
38190,3
38191,3
38376,3
39622,3
39733,4
39438,3
39604,3
39206,3
39432,3
38379,3
38726,3
39100,3
39198,4
39084,3
38822,3
38986,3
38824,4
38727,3
41703,3
45844,4
46728,3
41108,3
41682,3
40103,1
40102,3
38731,3
38385,3
41729,2
41907,3
45845,4
44731,3
46684,3
32654,2
31595,2
35711,3
41305,3
38609,3
38737,3
38613,4
38391,4
40789,1
40790,3
41515,4
42555,4
40592,3
36783,3
37074,3
36056,4
37084,3
37450,3
46526,3
46492,3
40591,1
46478,3
40760,3
44733,3
45853,4
44735,3
40849,1
45861,4
36785,1
46468,3
36787,3
44098,3
44737,3
138881,1
139032,3
45869,4
46422,3
40206,1
38527,2
38623,3
39737,3
38377,3
39184,3
38833,3
37452,3
51153,1
50158,1
50141,4
39743,4
40046,1
40946,3
44739,3
45873,4
46364,3
42400,3
44166,3
36643,1
36607,3
35719,1
35717,3
41303,3
41840,1
37454,3
38159,3
36552,4
36613,4
38622,3
38150,3
39955,1
39954,3
46320,4
44741,3
45883,4
36060,1
36554,1
36621,1
36793,3
42340,3
42925,3
40260,3
39742,4
38826,3
37934,1
37466,4
40261,1
42211,2
42295,3
46460,3
46240,3
45891,4
37085,1
42184,1
42183,3
37458,3
44811,3
41151,3
41775,3
40901,3
44283,2
44384,1
18262,3
26017,3
