Node,Farness_unweighted
21361,4431992
20613,4379418
21320,4484246
20594,4431672
19044,4379100
19052,4326846
34946,4152729
32382,4100155
18256,4431286
16976,4379272
17948,4378947
19200,4274498
20102,4379420
19042,4326720
16972,4327161
17580,4326854
19066,4274456
18349,4379596
18350,4327022
26166,4274686
23710,4222112
18358,4379453
18359,4432027
18458,4326898
17005,4274953
18028,4326578
18175,4379152
18526,4274332
11224,4314307
19177,4222029
27272,4341206
27268,4288632
23671,4169643
16172,4327295
17227,4222621
17421,4170209
18831,4275195
30306,4280765
29732,4228191
52478,4198558
52234,4145984
12633,4366501
26930,4236892
22334,4117344
26911,4184430
46281,4289707
46282,4237133
6244,4683032
6243,4630458
6245,4577897
6281,4630464
7115,4577912
7282,4525347
6661,4630473
47143,4184561
47144,4131991
47070,4079431
47069,4026857
26903,4146957
27255,4236331
26645,4147304
26646,4094730
28176,4251059
28151,4198758
6663,4683047
6938,4577910
6504,4525334
9329,4262647
6799,4525350
28400,4146833
29998,4198345
7035,4472785
6800,4577924
26648,4147304
26760,4042241
7745,4420243
47091,4079423
6531,4525337
21521,4118299
21146,4065725
44788,3974344
49227,3988282
29996,4175727
31736,4137980
30008,4146175
31727,4160846
15249,4380125
14278,4327551
28418,4094424
52718,4198558
52118,4093414
7728,4472797
8777,4367711
31008,4146103
32371,4123409
30885,4198506
30886,4145932
10949,4314466
13282,4379863
34504,4048035
34485,4071289
52117,4040848
53507,4145988
5862,4473377
12723,4327355
13197,4275013
16702,4380125
5861,4525951
5546,4421180
44787,3921795
47086,3974329
9330,4315179
20190,4170489
19118,4117915
8160,4210621
12211,4275139
12212,4222565
50560,3935728
44720,3869241
24567,4065028
43620,3816701
50516,3883201
36930,4100609
10703,4274944
34682,3995726
34643,4018980
39502,4048300
20334,4065606
21166,4013369
43619,3869275
38226,3764202
50074,3830661
34202,4198677
30890,4093839
30016,4145924
28428,4146656
26810,3990200
24667,4013488
21182,3961253
20025,4013490
50662,3935722
19121,4065840
17427,4222709
50674,3988284
30156,4093838
30924,4041654
52646,3883187
16488,4485433
16487,4432859
17251,4275239
17431,4222983
16913,4327764
17240,4327773
16785,4380305
17177,4380284
16774,4432818
