Node,Farness_weighted
21361,16131
20613,16131
21320,16131
20594,16131
19044,16131
19052,16131
34946,16131
32382,16131
18256,16131
16976,16131
17948,16131
19200,16131
20102,16131
19042,16131
16972,16131
17580,16131
19066,16131
18349,16131
18350,16131
26166,16131
23710,16131
18358,16131
18359,68705
18458,16131
17005,16131
18028,16131
18175,16131
18526,16131
11224,16131
19177,16131
27272,16131
27268,16131
23671,16131
16172,16131
17227,16131
17421,16131
18831,16131
30306,16131
29732,16131
52478,16131
52234,16131
12633,16131
26930,16131
22334,16131
26911,16131
46281,16131
46282,16131
6244,16131
6243,16131
6245,16131
6281,16131
7115,16131
7282,16131
6661,16131
47143,16131
47144,16131
47070,16131
47069,16131
26903,16131
27255,16131
26645,16131
26646,16131
28176,16131
28151,16131
6663,16131
6938,16131
6504,16131
9329,16131
6799,16131
28400,16131
29998,16131
7035,16131
6800,16131
26648,16131
26760,16131
7745,16131
47091,16131
6531,16131
21521,16131
21146,16131
44788,16131
49227,16131
29996,16131
31736,16131
30008,16131
31727,16131
15249,16131
14278,16131
28418,16131
52718,16131
52118,16131
7728,16131
8777,16131
31008,16131
32371,16131
30885,16131
30886,16131
10949,16131
13282,16131
34504,16131
34485,16131
52117,16131
53507,16131
5862,16131
12723,16131
13197,16131
16702,16131
5861,16131
5546,16131
44787,16131
47086,16131
9330,16131
20190,16131
19118,16131
8160,16131
12211,16131
12212,16131
50560,16131
44720,16131
24567,16131
43620,16131
50516,16131
36930,16131
10703,16131
34682,16131
34643,16131
39502,16131
20334,16131
21166,16131
43619,16131
38226,16131
50074,16131
34202,16131
30890,16131
30016,16131
28428,16131
26810,16131
24667,16131
21182,16131
20025,16131
50662,16131
19121,16131
17427,16131
50674,16131
30156,16131
30924,16131
52646,16131
16488,16131
16487,16131
17251,16131
17431,16131
16913,16131
17240,16131
16785,16131
17177,16131
16774,16131
16484,16131
17316,16131
17314,16131
5545,16131
15888,16131
15883,16131
16446,16131
16687,16131
17435,16131
17060,16131
16402,16131
16960,16131
16959,16131
16897,16131
17035,16131
6856,16131
16751,16131
28429,16131
16825,16131
35415,16131
35440,16131
16903,16131
17141,16131
16401,16131
16881,16131
17439,16131
17117,16131
24813,16131
21210,16131
20027,16131
17442,16131
7358,16131
9233,16131
29274,16131
16799,16131
17101,16131
16525,16131
16757,16131
16985,16131
17446,16131
9791,16131
9757,16131
10485,16131
9043,16131
10620,16131
16995,16131
10779,16131
30982,16131
10787,16131
16167,16131
10898,16131
9641,16131
10336,16131
17245,16131
17255,16131
18446,16131
17271,16131
10576,16131
10784,16131
10155,16131
9355,16131
9457,16131
10491,16131
29088,16131
49803,16131
10369,16131
10738,16131
10131,16131
10277,16131
9603,16131
9905,16131
10266,16131
9561,16131
10384,16131
28972,16131
29293,16131
12414,16131
9798,16131
29068,16131
29712,16131
5891,16131
5892,16131
8032,16131
17258,16131
9816,16131
28954,16131
28224,16131
28932,16131
24912,16131
26844,16131
24051,16131
23218,16131
23862,16131
24297,16131
24088,16131
24518,16131
28538,16131
25432,16131
7151,16131
29137,16131
21272,16131
7152,16131
54695,16131
54201,16131
7357,16131
22923,16131
27766,16131
6136,16131
52710,16131
53668,16131
19424,16131
17275,16131
54173,16131
54174,16131
24443,16131
25204,16131
28132,16131
33108,16131
33107,16131
25181,16131
22682,16131
9294,16131
25764,16131
17124,16131
17105,16131
25644,16131
26594,16131
25182,16131
54528,16131
27765,16131
27742,16131
25148,16131
28916,16131
28486,16131
54688,16131
28002,16131
26568,16131
32447,16131
32448,16131
24219,16131
