Edge,Count
7927,6
8395,2
9191,2
9252,2
9302,2
9304,2
25378,2
12939,1
19325,30
4207,2
31929,19
31943,21
31985,21
32401,20
32724,20
32725,20
32735,19
32762,21
32801,21
32990,1
33073,5
33087,1
33084,1
32177,2
32036,3
32057,3
75895,3
32355,3
32808,2
33003,2
33016,2
33362,2
33532,3
33654,3
33665,3
33768,3
33873,3
33888,3
33889,10
33887,10
33841,8
33711,7
24750,11
24754,12
24891,8
24923,8
24933,8
25101,16
25808,15
25948,10
26226,20
26356,6
11851,4
26048,45
25706,9
25651,9
25546,9
25496,13
25484,13
33313,11
76206,11
33379,11
33392,11
39402,90
39466,88
10503,8
10161,8
10143,3
26195,5
13128,3
32836,15
9337,25
12332,19
12333,12
21797,6
55556,1
7339,28
7379,28
7427,28
7501,19
23637,3
4650,9
32822,10
32795,10
32731,2
75911,2
32530,2
32648,2
32719,2
32750,2
32768,10
75915,10
32880,4
32881,1
20837,26
21484,26
24490,2
24583,2
24621,2
24594,5
24526,1
32642,31
32641,19
26302,40
26303,32
26163,32
26155,32
31724,2
31735,2
31753,2
31756,2
31757,2
31769,2
27095,1
76093,54
15077,4
16105,1
16163,1
75506,3
75502,4
10137,4
10049,5
31056,7
31176,6
31237,6
2873,1
2851,1
2884,1
2889,2
2896,3
2966,2
3675,2
3753,2
4746,2
5304,2
75925,3
16412,121
29531,4
29481,4
29423,1
28588,1
28401,1
28402,1
28268,1
28214,1
28106,1
28057,1
27942,1
27901,1
27675,1
27469,1
27461,1
27436,3
27402,3
27399,3
27373,3
25502,3
25488,22
25356,22
24625,23
24605,23
21050,1
18879,1
75678,1
17901,1
17889,1
17340,1
17258,11
17092,11
9241,2
9242,2
9194,2
9144,2
9083,2
8985,2
8882,2
8853,2
8811,2
8903,2
42690,5
42566,5
44699,5
44890,7
44891,8
44876,6
44325,5
45979,5
6583,5
33853,2
33856,2
33867,4
13261,18
24072,4
24042,4
24091,4
24157,4
24256,4
24808,5
24848,7
24948,7
24982,7
24983,6
25174,6
25175,6
25137,4
24881,5
24525,4
76067,14
76060,6
33808,3
33643,1
33593,1
33578,3
33568,3
33435,3
33404,5
76204,5
33297,5
33255,5
33205,6
33188,6
33162,4
33065,4
32985,4
32998,1
33021,1
33040,1
33076,1
33215,1
33226,1
75929,1
75927,10
32924,9
32740,9
25377,2
32244,2
32305,2
26536,1
3647,2
75939,12
33678,12
33720,18
33747,18
33780,12
33895,10
59208,4
53699,4
53585,1
76062,1
54066,1
76065,1
54216,1
54249,1
76063,1
53279,1
52316,2
10718,2
32069,3
36210,1
36008,1
35823,1
1532,1
1291,1
1250,1
1103,1
1095,1
1161,1
1162,12
1132,12
1135,12
1542,12
1551,12
2241,12
30052,3
30051,14
10797,1
10750,7
10714,8
26653,12
26897,6
26964,7
26935,7
26830,6
26811,7
26882,13
27054,6
27063,26
27134,26
27229,20
27396,20
27495,12
27560,12
27587,10
27718,10
27787,10
27899,8
28572,6
28763,6
28884,6
28885,6
28961,6
28989,6
25153,9
25403,9
25938,8
26092,4
26198,7
26201,7
26224,7
26272,6
26273,6
26274,4
26255,4
26112,4
23228,4
23252,4
23244,4
23327,6
23408,4
23409,2
23361,2
23318,2
23270,2
23227,2
23174,2
23104,2
23027,2
22970,2
22881,2
22806,2
22736,2
22639,2
22739,2
23978,2
23981,3
71003,3
71656,3
71696,2
71862,2
71915,2
71918,2
71885,2
71760,2
72060,2
72759,2
76140,2
72815,2
2319,3
2497,3
2622,3
2700,3
2706,3
2737,4
2775,4
2872,4
2915,4
34218,4
34214,4
34249,1
34250,4
34264,2
53493,3
53411,7
53189,7
76053,7
52261,5
34616,18
9820,1
9835,1
9890,1
9979,1
9997,1
10034,1
10091,1
10566,1
10602,2
10642,10
10672,10
10712,10
10800,10
10958,10
10986,10
11058,10
11066,10
20153,2
20303,2
76201,1
17003,3
17002,10
17123,10
7993,19
7974,19
7978,19
8113,19
8260,19
8428,19
8543,19
8605,19
21443,1
7851,25
7979,36
7852,18
6584,19
6139,19
5951,19
5938,19
5209,18
5191,18
4655,18
4408,18
