Node,Indegree,Outdegree
32771,2,2
32781,2,2
15,0,2
17,2,2
65554,32,32
18,2,2
32786,16,16
32789,3,3
23,2,2
65561,6,7
32794,14,14
65567,7,7
33,5,5
65571,9,9
32803,4,4
65575,1,1
65577,23,24
42,5,5
32812,7,7
32814,2,2
65584,17,18
50,4,2
65587,23,23
65589,22,23
54,1,0
32823,150,167
65591,7,7
32828,2,2
65596,1,1
32830,14,14
131135,12,9
65602,27,27
131138,43,43
65605,1,1
65606,1,10
32841,4,4
65616,2,2
131152,1,1
131160,73,73
65643,21,22
32876,2,0
65647,1,1
32882,2,2
65652,10,25
32888,1,1
65657,20,26
32890,14,14
65663,27,27
32898,2,2
65672,66,64
65674,19,18
65679,13,13
32914,5,5
98451,3,3
32918,6,6
32919,1,1
65691,19,18
32923,3,3
65697,47,43
167,2,2
168,2,2
98472,4,4
32935,1,1
32944,3,3
32950,2,2
65721,50,53
65725,7,7
32969,8,8
32973,1,1
131295,5,5
65760,10,9
65764,3,0
230,2,2
131305,11,4
33005,3,3
65787,13,13
65791,3,0
65794,3,3
98565,2,2
33032,3,3
33040,1,1
65809,23,23
33042,3,3
33045,3,3
65814,34,35
65815,4,4
131352,4,4
131355,4,4
98592,4,4
65825,1,1
65824,6,7
33061,4,4
65833,1,1
98602,2,2
65836,48,48
33070,3,3
65844,18,18
33076,1,1
65847,25,29
65850,1,1
65854,3,2
33092,3,3
65862,10,10
65865,6,6
65870,1,1
65871,23,23
65876,2,2
65877,1,0
65880,9,9
65887,9,9
33119,1,1
33128,3,3
131434,4,4
65900,28,28
65901,9,9
33132,8,8
33133,21,5
98671,1,1
65905,6,6
65907,2,2
65908,2,2
65910,2,2
65913,7,7
65915,18,18
33153,22,22
33154,23,23
65924,22,22
98692,1,1
65926,2,2
33159,3,3
98699,1,1
65932,17,17
33165,19,19
65940,28,28
65946,18,18
33178,2,2
65949,11,11
98718,1,1
65951,10,10
418,2,2
65956,8,10
33191,4,4
65960,37,55
33197,152,150
65969,11,11
98737,16,16
65971,1,1
65973,7,7
65976,18,18
65980,36,36
33214,4,4
65985,3,4
33217,32,39
451,2,8
450,8,8
454,8,8
65991,24,24
456,8,8
131530,1,1
33227,3,3
65996,2,2
33229,4,4
462,8,8
33231,2,2
464,8,8
98769,3,3
33230,6,10
33235,24,24
66006,2,2
471,8,8
33242,7,8
33246,35,34
66015,1,1
66016,1,1
481,8,8
33250,68,68
33251,4,4
98790,1,1
33255,2,2
131562,4,4
66028,2,1
98796,2,2
492,2,2
98797,1,1
66032,2,2
66039,1,1
33271,4,4
33272,4,4
66042,2,2
66043,1,1
507,1,2
66045,1,1
513,8,8
131586,9,9
66051,1,1
516,2,2
66053,1,1
66055,1,1
33289,30,30
33292,2,2
66060,1,1
66071,1,1
536,2,2
33305,2,2
33303,1,1
66076,2,2
66078,1,2
33311,21,21
66080,2,2
33316,3,3
548,2,2
66089,6,6
66090,6,6
66093,2,2
66094,2,2
33325,1,1
66095,1,2
33333,4,4
66102,2,3
33334,4,4
66104,14,35
568,8,8
33336,2,2
98879,56,56
98880,29,29
33343,2,2
33346,17,17
66115,23,23
66112,1,1
66119,6,6
33351,5,5
66127,22,22
66128,27,26
66129,10,10
594,2,2
33364,17,17
33365,4,4
33367,1,1
66136,37,37
33371,8,7
33372,8,8
66140,39,39
603,8,8
33375,88,87
33377,8,8
66146,37,37
611,2,2
66149,0,1
66150,1,1
33381,2,2
66152,2,2
33385,9,9
33386,23,26
66153,25,25
33388,2,2
66164,11,11
66167,25,25
33399,13,13
635,4,4
33404,17,17
33412,6,5
647,6,6
66183,2,2
649,4,4
66188,3,3
653,6,0
33423,2,2
657,4,4
66194,0,2
33428,2,2
66197,27,27
663,4,4
66200,26,26
33431,2,2
66204,28,28
98973,1,1
66205,2,2
33439,1,1
66210,4,4
33444,2,2
66213,10,10
66214,47,52
98983,82,82
66216,25,25
98982,85,85
33450,2,2
682,5,5
678,5,5
66222,40,40
66226,26,26
690,1,1
692,4,4
66229,2,3
33463,18,13
66233,33,33
33467,20,20
33470,5,15
33472,22,22
706,5,5
66242,1,1
66244,40,40
66245,6,7
33479,15,15
66252,6,6
99021,8,8
716,5,5
99024,1,1
66262,13,13
66263,5,5
728,5,5
726,5,5
33498,9,9
66268,6,6
33501,8,8
131807,35,35
33503,3,1
33511,4,4
33512,24,24
33515,88,88
33525,5,5
66294,28,28
33529,17,15
66298,13,13
764,5,5
33538,7,7
33540,4,4
779,4,4
66317,6,6
33551,2,2
66321,1,1
66323,16,16
33558,31,27
33559,6,6
66327,1,1
66331,7,6
99099,1,1
66338,9,9
66341,7,7
806,7,7
807,1,0
33577,2,2
33579,7,7
66348,22,22
131888,9,10
66352,5,4
66355,0,6
33587,2,2
33592,8,8
66361,26,24
33600,19,19
66370,26,26
835,4,4
66375,16,16
33613,8,8
66384,6,6
33620,8,8
33622,18,18
131927,42,42
33626,1,0
33630,14,14
33631,108,108
99167,14,14
33640,3,3
66409,58,58
33647,29,18
33648,19,27
66415,1,1
66418,23,23
33649,1,1
131956,1,1
99195,44,44
33660,88,88
66427,1,1
66430,2,2
33662,8,8
33664,1,1
33668,1,1
66440,3,2
33673,53,55
906,8,7
66446,2,2
99215,6,6
33680,89,89
66449,5,5
66452,2,2
66453,19,19
66456,42,42
33689,31,31
922,1,1
66459,5,7
928,1,1
66467,33,33
66469,18,18
936,1,1
66474,0,16
33708,16,16
66478,34,34
33713,1,1
66487,42,24
66490,5,5
66493,5,5
66497,19,19
33730,6,6
963,0,1
66502,1,1
33736,12,12
66507,41,41
33739,12,12
66509,15,15
66512,18,18
33745,9,9
66516,24,24
66520,31,31
66522,16,16
99290,1,1
66525,1,1
66526,3,3
993,4,4
66540,3,3
66543,31,30
33775,3,3
33781,27,27
33782,9,22
66552,42,42
99320,3,3
33786,18,19
132088,9,9
99322,1,1
66557,10,10
66559,14,14
33792,1,1
33793,4,4
66564,26,27
33797,16,16
33796,7,7
33802,1,1
66571,5,5
33805,3,3
66575,35,35
66576,41,42
66580,13,13
99349,2,2
66582,2,1
99348,44,44
33814,1,1
1050,5,5
66589,3,3
1053,6,6
1056,7,7
66593,15,15
33827,2,2
33832,2,2
33839,68,173
33842,92,92
66617,16,16
1082,13,14
33853,2,2
66623,18,8
66624,33,33
66626,26,26
1092,5,5
1095,4,4
66634,1,1
33866,3,3
1100,7,6
33870,23,23
66638,24,24
1104,10,10
66641,4,4
1106,4,4
66645,7,7
66646,7,7
1111,4,4
132182,1,1
1109,2,6
1114,4,4
33883,3,3
1116,6,6
33885,17,17
66653,1,1
33887,1,1
1120,4,4
1121,4,4
33892,12,12
1125,4,4
66661,12,13
33898,1,1
1130,6,6
1134,6,6
33903,97,97
66671,53,53
66670,1,1
66675,1,1
33910,1,1
66681,2,2
33914,1,1
1150,9,8
1151,7,7
1155,9,9
66694,1,1
132231,56,56
132232,57,57
66697,4,4
132233,35,35
33929,8,8
33928,8,9
1161,5,5
33935,27,27
66703,11,10
66705,33,33
66710,29,29
33943,3,3
33945,13,13
66714,13,13
66722,1,0
66724,3,3
66727,16,16
1193,9,9
33963,19,19
33964,10,10
1198,6,7
66737,26,26
33971,11,11
33972,11,11
33973,31,31
66742,52,52
66746,42,42
33979,4,4
33982,19,20
33985,2,2
1218,9,9
66757,27,27
66758,27,27
33990,16,16
1226,7,7
1227,5,5
33998,16,16
33999,1,1
66768,29,29
34004,40,40
66776,2,2
1243,5,5
99548,8,8
1246,7,7
66784,27,27
34017,28,28
34018,28,28
99553,1,1
34020,27,27
66789,42,35
1253,9,10
66794,56,56
34026,2,2
34030,3,3
66802,27,27
1267,6,6
34035,2,0
66806,15,15
66808,15,15
34050,29,30
99588,2,2
66828,12,12
1297,6,6
66834,39,39
132371,73,73
132372,73,73
34067,7,7
34071,3,3
34072,3,3
34073,34,34
66845,53,55
34078,28,28
66846,24,24
1310,10,10
34082,7,7
66850,1,1
66852,1,1
66856,65,64
66857,18,18
66861,17,17
34095,2,2
34098,1,1
34100,1,1
66869,49,45
1333,49,49
34101,25,25
1334,49,8
34105,6,5
34106,5,5
66875,2,2
66877,2,2
34113,1,1
66882,41,41
34115,12,12
1348,4,4
34117,11,11
1349,10,10
66885,3,3
132425,1,1
66894,29,31
34129,1,1
66901,7,8
66904,0,2
66905,37,37
99673,2,2
66907,2,2
66909,15,14
99678,2,2
34144,4,4
66915,0,1
132453,4,4
34151,2,2
66920,38,38
34153,3,3
66923,15,15
66928,14,14
34161,1,1
66930,1,1
34166,43,43
99703,15,15
66936,27,27
66945,1,1
1411,6,6
34179,2,2
1414,8,7
34183,35,35
66952,16,26
34184,35,35
34187,2,2
66961,2,5
1426,1,3
1432,2,3
34204,12,12
1437,51,51
34208,7,7
99750,2,2
66983,3,3
34218,1,1
66987,9,10
66988,9,9
34225,2,2
34228,5,5
66996,2,1
99764,1,0
66999,60,92
67000,37,37
67001,11,11
34234,90,90
34233,33,33
34236,4,4
67006,25,25
132548,4,4
34245,31,31
67014,4,5
34249,1,1
67018,28,30
67019,6,6
34253,2,2
67024,22,22
67028,16,16
67032,63,63
34265,14,14
67036,11,11
1502,10,10
34271,9,9
67042,9,9
