XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
679605.353,3161141.476,21361,20613,10681,648.9559067
679607.303,3161130.543,21320,20594,10660,643.3879528
680211.1916,3160908.595,20594,19044,10297,2065.600601
680211.1916,3160908.595,20594,21320,10660,643.3879528
680213.8765,3160915.996,20613,19052,10307,2062.7316
680213.8765,3160915.996,20613,21361,10681,648.9559067
681759.6598,3164973.605,34946,32382,17473,2776.273355
682169.7121,3160184.127,18256,16976,9128,434.536944
682169.7121,3160184.127,18256,17948,9129,226.4107671
682169.7121,3160184.127,18256,19044,9522,205.8939843
682175.4269,3160396.979,19052,19044,9526,7.038112742
682175.4269,3160396.979,19052,19200,9600,664.8598275
682175.4269,3160396.979,19052,20102,10051,338.52872
682175.4269,3160396.979,19052,20613,10307,2062.7316
682175.458,3160389.941,19044,18256,9522,205.8939843
682175.458,3160389.941,19044,19042,9525,279.6646121
682175.458,3160389.941,19044,19052,9526,7.038112742
682175.458,3160389.941,19044,20594,10297,2065.600601
682176.8029,3160735.293,20102,19052,10051,338.52872
682370.8304,3159810.167,16976,16972,8488,284.7843286
682370.8304,3159810.167,16976,17948,8974,277.1967509
682370.8304,3159810.167,16976,18256,9128,434.536944
682374.3867,3160087.341,17948,16976,8974,277.1967509
682374.3867,3160087.341,17948,17580,8975,276.0799614
682374.3867,3160087.341,17948,18256,9129,226.4107671
682374.3867,3160087.341,17948,19042,9521,322.9107304
682455.0602,3160389.591,19042,17948,9521,322.9107304
682455.0602,3160389.591,19042,19044,9525,279.6646121
682455.0602,3160389.591,19042,19066,9534,217.7238523
682500.7034,3160168.382,18349,18350,9175,103.1393091
682570.7554,3162254.004,26166,23710,13083,1012.744482
682594.2443,3160206.65,18350,18349,9175,103.1393091
682594.2443,3160206.65,18350,18358,9179,20.508073
682594.2443,3160206.65,18350,19066,9533,213.5241905
682612.272,3160151.321,18359,18358,9180,58.87243133
682614.5016,3160209.847,18358,18350,9179,20.508073
682614.5016,3160209.847,18358,18359,9180,58.87243133
682614.5016,3160209.847,18358,18458,9229,43.30543546
682621.9037,3159967.161,17580,16972,8790,163.5687461
682621.9037,3159967.161,17580,17005,8791,326.3753405
682621.9037,3159967.161,17580,17948,8975,276.0799614
682621.9037,3159967.161,17580,18028,9014,203.5183509
682638.3506,3160162.169,18175,18028,9088,111.4967327
682646.6207,3160237.505,18458,18358,9229,43.30543546
682646.6207,3160237.505,18458,18526,9263,194.9348762
682655.6145,3159809.801,16972,11224,8486,3154.596068
682655.6145,3159809.801,16972,16976,8488,284.7843286
682655.6145,3159809.801,16972,17005,8503,264.0371212
682655.6145,3159809.801,16972,17580,8790,163.5687461
682672.0988,3160402.404,19066,18350,9533,213.5241905
682672.0988,3160402.404,19066,19042,9534,217.7238523
682672.0988,3160402.404,19066,19177,9589,175.4642381
682738.8986,3160119.443,18028,17580,9014,203.5183509
682738.8986,3160119.443,18028,18175,9088,111.4967327
682738.8986,3160119.443,18028,18526,9264,171.6370568
682825.2599,3162574.876,27272,27268,13636,949.2273099
682833.7732,3160437.956,19200,19052,9600,664.8598275
682833.7732,3160437.956,19200,19177,9601,9.628935964
682833.7732,3160437.956,19200,23710,11855,1404.532246
682836.4203,3160250.074,18526,18458,9263,194.9348762
