OBJECTID,FID_Select,osm_id,name,ref,type,oneway,bridge,tunnel,maxspeed,Class,ORIG_FID,geometry,Indegree,Outdegree,Degree_unweighted,Farness_unweighted,Farness_weighted,Indegree_norm,Outdegree_norm,Degree_unweighted_norm,Farness_unweighted_norm,Farness_weighted_norm
1,8636,127205380,,,rest_area,0,0,0,0,0,1,POINT (712537.6589229973 3144490.858776398),0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.3333333333333333,1.1933832863687285e-06,0.0
2,8636,127205380,,,rest_area,0,0,0,0,0,1,POINT (712540.4078217512 3144488.301725777),0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.1111111111111111,1.7900749295530928e-06,0.0
5,8636,127205380,,,rest_area,0,0,0,0,0,3,POINT (712557.858872138 3144494.2769853435),0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.1111111111111111,1.7900749295530928e-06,0.0
7,16789,176333814,Faridabad-Gurgaon Road,MDR137,secondary,0,0,0,0,0,4,POINT (712522.1066298233 3144502.096975304),0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.2222222222222222,1.1933832863687285e-06,0.0
9,8927,144357711,,,rest_area,0,0,0,0,0,5,POINT (712419.5208154209 3144583.682813829),0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.2222222222222222,1.4917291079609107e-06,0.0
15,16789,176333814,Faridabad-Gurgaon Road,MDR137,secondary,0,0,0,0,0,8,POINT (711578.8616873082 3145075.598983301),0.0,2.0,1.0,14.0,0.0,0.0,0.008130081300813009,0.1111111111111111,2.088420751145275e-06,0.0
17,8637,127205383,,,rest_area,0,0,0,0,0,9,POINT (711315.2300297935 3145398.576207746),2.0,2.0,1.0,5.0,0.0,0.008130081300813009,0.008130081300813009,0.1111111111111111,7.458645539804553e-07,0.0
18,8637,127205383,,,rest_area,0,0,0,0,0,9,POINT (711284.8627615804 3145505.6122027934),2.0,2.0,3.0,3.0,0.0,0.008130081300813009,0.008130081300813009,0.3333333333333333,4.475187323882732e-07,0.0
22,8637,127205383,,,rest_area,0,0,0,0,0,11,POINT (711317.7894047666 3145395.4405899104),0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.1111111111111111,7.458645539804553e-07,0.0
23,16789,176333814,Faridabad-Gurgaon Road,MDR137,secondary,0,0,0,0,0,12,POINT (711166.5205363994 3145580.7712339833),2.0,2.0,1.0,5.0,0.0,0.008130081300813009,0.008130081300813009,0.1111111111111111,7.458645539804553e-07,0.0
25,8901,143562853,,,track,0,0,0,0,0,13,POINT (717127.8386234948 3145318.7230274826),0.0,0.0,1.0,5707679.0,16131.0,0.0,0.0,0.1111111111111111,0.8514310903197223,0.0029416704552230927
26,8901,143562853,,,track,0,0,0,0,0,13,POINT (717339.5057859616 3145753.782853335),0.0,0.0,3.0,5655105.0,16131.0,0.0,0.0,0.3333333333333333,0.8435884737075287,0.0029416704552230927
27,8880,143562817,,,unclassified,0,0,0,0,0,14,POINT (717456.1606149888 3145722.9410235547),0.0,0.0,1.0,5707679.0,16131.0,0.0,0.0,0.1111111111111111,0.8514310903197223,0.0029416704552230927
29,8868,143562800,,,unclassified,0,0,0,0,0,15,POINT (716367.0308399685 3146025.0474289358),0.0,0.0,1.0,5655109.0,16131.0,0.0,0.0,0.1111111111111111,0.8435890703991717,0.0029416704552230927
30,8868,143562800,,,unclassified,0,0,0,0,0,15,POINT (717230.2404741654 3146166.4713453613),0.0,0.0,3.0,5602535.0,16131.0,0.0,0.0,0.3333333333333333,0.8357464537869781,0.0029416704552230927
33,9097,152234809,Chattarpur Main Road,,unclassified,0,0,0,60,0,17,POINT (717836.7729830164 3146478.0033771507),5.0,5.0,3.0,5654609.0,16131.0,0.02032520325203252,0.02032520325203252,0.3333333333333333,0.8435144839437737,0.0029416704552230927
34,9097,152234809,Chattarpur Main Road,,unclassified,0,0,0,60,0,17,POINT (717914.3272237973 3146459.9028416015),0.0,0.0,2.0,5707181.0,16131.0,0.0,0.0,0.2222222222222222,0.8513568022101459,0.0029416704552230927
