dataset_record_id,tweet_id,system,model,model_version_or_revision,generated_translation,generation_status,generation_timestamp,run_id,input_sha256,record_input_sha256,output_sha256,attempted,runtime_seconds,error_code,metadata_json
record:ee6b9bf66dbd6cc0b279c62c96becca3157dae6b07ad5957b0bf86ea16fdcc81,1012190838569521157,google,general/nmt,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,edce16bd0719d954377c7715764a0c8a59746094eda5d6de2c7c52d8e6a54d8f,,False,,GOOGLE_CLOUD_TRANSLATE_LIBRARY_NOT_INSTALLED;GOOGLE_CLOUD_PROJECT_NOT_CONFIGURED;GOOGLE_ADC_NOT_CONFIGURED_ON_THIS_LOCAL_HOST,{}
record:b677d82edd185e99921406af6cd74e1ca04bb5aab3b622b63690af7ed7c0e913,1036139686652039169,google,general/nmt,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,0fd0b71da3bf4c3746c36be1bccde258d1a3c43181b83b76f24a5f482b5af569,,False,,GOOGLE_CLOUD_TRANSLATE_LIBRARY_NOT_INSTALLED;GOOGLE_CLOUD_PROJECT_NOT_CONFIGURED;GOOGLE_ADC_NOT_CONFIGURED_ON_THIS_LOCAL_HOST,{}
record:4ca521b25942749878330404fbd061bae37f4b7a2e441b23ac7251b9c10890f2,558811604566179840,google,general/nmt,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,148a4a2cf732745036fae30c44123cf767eb8ba031e64ad7bef7b635db06f02c,,False,,GOOGLE_CLOUD_TRANSLATE_LIBRARY_NOT_INSTALLED;GOOGLE_CLOUD_PROJECT_NOT_CONFIGURED;GOOGLE_ADC_NOT_CONFIGURED_ON_THIS_LOCAL_HOST,{}
record:5061a97dc3a3cbfa703e6feb9541c63497cd748ae95e8d547dfcd8f065a5757d,1026805620727529472,google,general/nmt,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,1d851bc296b1b660ff205790c3247a9aafa7ab1d98a058c5e0326a6e694574ff,,False,,GOOGLE_CLOUD_TRANSLATE_LIBRARY_NOT_INSTALLED;GOOGLE_CLOUD_PROJECT_NOT_CONFIGURED;GOOGLE_ADC_NOT_CONFIGURED_ON_THIS_LOCAL_HOST,{}
record:94de5bdc1318d567088043953c8c20795dc740f870ac0727cd36b5eb5fd76122,1090608305989476357,google,general/nmt,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,9ef09b520c58fdc48b63c803b01d23ee13e60e60bc9b731b2f13e7e006e06b37,,False,,GOOGLE_CLOUD_TRANSLATE_LIBRARY_NOT_INSTALLED;GOOGLE_CLOUD_PROJECT_NOT_CONFIGURED;GOOGLE_ADC_NOT_CONFIGURED_ON_THIS_LOCAL_HOST,{}
record:4f17e94f099fbf214d453bfebd75a1c5979c141dfee8f78dcd256dcbfd8ff0f4,1072369605442715649,google,general/nmt,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,9c64a9f45d5bcfc690df7fbe10dfd384fd98968a6b14e1b476f5cc8958c3b5ee,,False,,GOOGLE_CLOUD_TRANSLATE_LIBRARY_NOT_INSTALLED;GOOGLE_CLOUD_PROJECT_NOT_CONFIGURED;GOOGLE_ADC_NOT_CONFIGURED_ON_THIS_LOCAL_HOST,{}
record:02f6a69f3714c2ec41b69b760691e1d937446bd26a14077a00b2fb97daa5bce7,634055024218349568,google,general/nmt,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,d5dfece38517f41633a7708125f5f7d53038c61a79ec8958a48a9b2719cd7414,,False,,GOOGLE_CLOUD_TRANSLATE_LIBRARY_NOT_INSTALLED;GOOGLE_CLOUD_PROJECT_NOT_CONFIGURED;GOOGLE_ADC_NOT_CONFIGURED_ON_THIS_LOCAL_HOST,{}
record:df8ad61816073f0629f33d910c492214c8361c6d8852c7edd3d925e85895d753,910364679301681153,google,general/nmt,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,13c840caf38b58d6d787d6361cede9c32ef0b8de00d83b35fe3362a8d29d379e,,False,,GOOGLE_CLOUD_TRANSLATE_LIBRARY_NOT_INSTALLED;GOOGLE_CLOUD_PROJECT_NOT_CONFIGURED;GOOGLE_ADC_NOT_CONFIGURED_ON_THIS_LOCAL_HOST,{}
record:d6c991350b25a5eef3d31c6bfc26a7c83190976a42eb0bb6b60f3c4f22db6658,1036507271302340609,google,general/nmt,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,ac8bbb3edefde3f21fc62bf4aad8b0460783acc07d2d23fe2a602b054023ba51,,False,,GOOGLE_CLOUD_TRANSLATE_LIBRARY_NOT_INSTALLED;GOOGLE_CLOUD_PROJECT_NOT_CONFIGURED;GOOGLE_ADC_NOT_CONFIGURED_ON_THIS_LOCAL_HOST,{}
record:14baa78ac3f1c1b74c9115dd863432f03395e9691b60e0520a80caaf83f7eba0,864089977109401601,google,general/nmt,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,a22ab834991b10cbc7ec47a506ea71ff7cfe671fd7f16badeb151ac9c7aaba29,,False,,GOOGLE_CLOUD_TRANSLATE_LIBRARY_NOT_INSTALLED;GOOGLE_CLOUD_PROJECT_NOT_CONFIGURED;GOOGLE_ADC_NOT_CONFIGURED_ON_THIS_LOCAL_HOST,{}
record:42e8437f7c5e14ab1431e9fa46122acd7ac3bea5d254ae4995ded4daf6957355,1070623402757517312,google,general/nmt,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v4,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,89cc2757565d9d8286d1e2393e795e6b2d8b59de70319c57d7aec13d93507ece,,False,,GOOGLE_CLOUD_TRANSLATE_LIBRARY_NOT_INSTALLED;GOOGLE_CLOUD_PROJECT_NOT_CONFIGURED;GOOGLE_ADC_NOT_CONFIGURED_ON_THIS_LOCAL_HOST,{}
