dataset_record_id,tweet_id,system,model,model_version_or_revision,generated_translation,generation_status,generation_timestamp,run_id,input_sha256,record_input_sha256,output_sha256,attempted,runtime_seconds,error_code,metadata_json
record:003712eeeaf4e0ac0acb572a2f47c98f64d4977230e6b2fef776e20a964e53d4,850191645064560640,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,"Traffic Alert In the carriageway from Nizamuddin to Mayur Vihar, work is underway on the elevated road at Barapullah which is 1 / 2 from Sarai Kale Khan.",SUCCESS,2026-09-12T15:35:29.548093+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,ed2d35a24398bc6a04242f91498d197fb9cbccbb96d91808b30898d165b94907,2dd057b28dbd85dbfc8a56b7bdf4f3e4b915568ecfd04af6aa0defb1b3fc2bad,True,27.342194,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:0037cfef513b8b1d6236a619600f9491b4844e66c31ce53e7806d0db8ea2b6e6,974924644963663873,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,"Traffic Alert Due to Bar Council of Delhi elections, Sher Shah Suri Marg has been closed, please avoid using Bhairon Marg, Mathura Road and Subramania Bharati Marg.",SUCCESS,2026-09-12T15:35:56.898991+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,40e4a7c780469389f458e9b3bcd7b071df01d13814979a62da25d6bdc2c369da,e0ba7f7220fd403d987770faa98118337eb5b693f9b78d60f84a939afcb33214,True,10.278417,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:008cce2313de31d6f12c13ea168dbb8c8d19eaf42cc591bead300050bd840d4b,856808492279234562,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,"Traffic Alert A DTC bus has broken down on the Dharampura Flyover towards Seelampur, disrupting traffic.",SUCCESS,2026-09-12T15:36:07.176418+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,1e396b241da029143f221cd74bfde4f8ca82d8d37327f8e1b6eff7951df3bf08,aa54fe906317412d1c7ade2ea808c3a34c19a3f92fd55db837141baa8ac07c9e,True,7.334234,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:009f3c4b06cb02a6cbbcccf665c464d3019f5d86ae82b22ba6ae6dbd197fad43,603213557346492417,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert A DTC bus no. DL1PC 0422 Kh\ u093C has been stuck at Loha Mandi red light which will be removed soon. Sorry for the inconvenience.,SUCCESS,2026-09-12T15:36:14.511817+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,bdb4513743d94b6895a516cf3bc3d102e2dfbc6c611091cfdc6ae1383adf1a7d,b7933cb6892b5460ece23bc3b4db02a98a1d5bfb8c0d7340ea1c5f0ff9b8ff41,True,43.835935,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:00a14b5a4b645d36f40752e6fd06487a1f6cf5da789b8733b3caa204a0f41d30,1034288796135710722,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert Traffic is affected due to waterlogging near Satyabhama Hospital on Nangloi Najafgarh Road!,SUCCESS,2026-09-12T15:36:58.344836+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,3517ce0bb5b6ee15d2d2a26c63f1f0ae5cc5873616a16756cff8fdd8c6f86ab5,9f4586aa8a09c01d1ca6d70d82016b9b33921c88a8e6da700e54ad94df68f515,True,36.869886,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:01171e96f8b011732b64baffa12845aeba3410e2f9262e4412893bbf601759f2,912642447083134977,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert The route from CR Park to GK-2 is high traffic due to Durga Puja. Please avoid using this route.,SUCCESS,2026-09-12T15:37:35.218575+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,d5e6c613d9f637d179c514213832a52154d22745aa24858a5bf9a223d56fffcf,0c3c32ad2653c701eb9fe987b7e7550edba6eadd38d5d4589979191c9afe2890,True,32.518537,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:014e210f271c9832417fd9d7b9e1459940c2280559cd9c10c2b490f78175df5b,1098445625295663104,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert Rajpura Boulevard Road has been made one way from Asaf Ali Hospital to Tis Hazari (09:00 to 12:00 hrs).,SUCCESS,2026-09-12T15:38:07.735507+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,d79a3a0aadcfa232d9272ba9a2960974ef1644392b2632e425825ba2e5870e25,9ec1486dc08307b98adc9ac9add5421c3475259626fc2298581156cd0627cdf1,True,10.715156,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:016c7be173e295ea00e1f29572d51ed4f98282b3be8fa4f436f7cf531647a6d3,933193259106516997,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,"Traffic Alert Traffic is moving in one carriageway at Azad Market Chowk due to Rani Jhansi Bridge construction work! Traffic will be disrupted at Azad Market, Sadar Bazar, Barf Khana, Pul Bangash, Roshanara Road, Tis Hazari and ISBT.",SUCCESS,2026-09-12T15:38:18.451556+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,8fd7d560bd36d2903255b400629ba7876076a92e72b9b0c2b6b025d62323078b,c2aacf0e8eb4242122675677ef1fd8eb34347602d28dcfccaa49262d5269131e,True,33.33483,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:01ba32715b986a5e8d20e1a6feb1516297f8f3095485a2d6eca68dd43a81988e,1078866338800693249,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,"Traffic Alert A truck going from Ashram to Badarpur has broken the CRRI red light and climbed over the divider, due to which traffic is disrupted.",SUCCESS,2026-09-12T15:38:51.786099+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,cd7f6f22c5233f00d4e8df537ff9a3bbbcada800617f6fde27863c0c5d2e61fe,d45f2fc1b6c249611a04bfe8c907d1aa59d0ee43f0656e59799b3d6e8a38bcf2,True,24.768957,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:01d0d7212414c72d029ce2c8635690eb00c2dd7e9783eee76efc2515c4e31adb,1038744495427223552,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert R / A Pusa Road towards Moti Nagar Traffic is affected due to a deep gorge on the road pic.twitter.com/mem7dStIFy,SUCCESS,2026-09-12T15:39:16.543929+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,9721d217b0845b2ec4fd61bc6f1f4b37a1f33449c2e79a4e37e4d3feab6b9558,d32b309a47430953f8e0b6084b161776188611a8904a9f93ad4614a4eed35f6b,True,19.929134,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
