dataset_record_id,tweet_id,system,model,model_version_or_revision,generated_translation,generation_status,generation_timestamp,run_id,input_sha256,record_input_sha256,output_sha256,attempted,runtime_seconds,error_code,metadata_json
record:003712eeeaf4e0ac0acb572a2f47c98f64d4977230e6b2fef776e20a964e53d4,850191645064560640,ollama,qwen2.5:3b-instruct,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,ed2d35a24398bc6a04242f91498d197fb9cbccbb96d91808b30898d165b94907,,False,,HOST_NOT_CONFIGURED,{}
record:0037cfef513b8b1d6236a619600f9491b4844e66c31ce53e7806d0db8ea2b6e6,974924644963663873,ollama,qwen2.5:3b-instruct,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,40e4a7c780469389f458e9b3bcd7b071df01d13814979a62da25d6bdc2c369da,,False,,HOST_NOT_CONFIGURED,{}
record:008cce2313de31d6f12c13ea168dbb8c8d19eaf42cc591bead300050bd840d4b,856808492279234562,ollama,qwen2.5:3b-instruct,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,1e396b241da029143f221cd74bfde4f8ca82d8d37327f8e1b6eff7951df3bf08,,False,,HOST_NOT_CONFIGURED,{}
record:009f3c4b06cb02a6cbbcccf665c464d3019f5d86ae82b22ba6ae6dbd197fad43,603213557346492417,ollama,qwen2.5:3b-instruct,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,bdb4513743d94b6895a516cf3bc3d102e2dfbc6c611091cfdc6ae1383adf1a7d,,False,,HOST_NOT_CONFIGURED,{}
record:00a14b5a4b645d36f40752e6fd06487a1f6cf5da789b8733b3caa204a0f41d30,1034288796135710722,ollama,qwen2.5:3b-instruct,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,3517ce0bb5b6ee15d2d2a26c63f1f0ae5cc5873616a16756cff8fdd8c6f86ab5,,False,,HOST_NOT_CONFIGURED,{}
record:01171e96f8b011732b64baffa12845aeba3410e2f9262e4412893bbf601759f2,912642447083134977,ollama,qwen2.5:3b-instruct,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,d5e6c613d9f637d179c514213832a52154d22745aa24858a5bf9a223d56fffcf,,False,,HOST_NOT_CONFIGURED,{}
record:014e210f271c9832417fd9d7b9e1459940c2280559cd9c10c2b490f78175df5b,1098445625295663104,ollama,qwen2.5:3b-instruct,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,d79a3a0aadcfa232d9272ba9a2960974ef1644392b2632e425825ba2e5870e25,,False,,HOST_NOT_CONFIGURED,{}
record:016c7be173e295ea00e1f29572d51ed4f98282b3be8fa4f436f7cf531647a6d3,933193259106516997,ollama,qwen2.5:3b-instruct,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,8fd7d560bd36d2903255b400629ba7876076a92e72b9b0c2b6b025d62323078b,,False,,HOST_NOT_CONFIGURED,{}
record:01ba32715b986a5e8d20e1a6feb1516297f8f3095485a2d6eca68dd43a81988e,1078866338800693249,ollama,qwen2.5:3b-instruct,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,cd7f6f22c5233f00d4e8df537ff9a3bbbcada800617f6fde27863c0c5d2e61fe,,False,,HOST_NOT_CONFIGURED,{}
record:01d0d7212414c72d029ce2c8635690eb00c2dd7e9783eee76efc2515c4e31adb,1038744495427223552,ollama,qwen2.5:3b-instruct,UNAVAILABLE_NOT_RETURNED,,BLOCKED_NOT_ATTEMPTED,,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,9721d217b0845b2ec4fd61bc6f1f4b37a1f33449c2e79a4e37e4d3feab6b9558,,False,,HOST_NOT_CONFIGURED,{}
