field_name,nonempty_records,likely_source,provenance_class,current_notebook_use
Unnamed: 0,5144,Likely retained index from a larger source table,legacy_row_identifier,Carried through; notebook uses DataFrame position/index instead
username,5144,Likely tweet collection; exact collector/version unknown,collection_metadata_or_contaminated_field,Carried through CSV only; not read for routing
date,5144,Likely tweet collection; exact collector/version unknown,collection_metadata_or_contaminated_field,Carried through CSV only; not read for routing
retweets,5144,Likely tweet collection; exact collector/version unknown,collection_metadata_or_contaminated_field,Carried through CSV only; not read for routing
favorites,5144,Likely tweet collection; exact collector/version unknown,collection_metadata_or_contaminated_field,Carried through CSV only; not read for routing
text,5144,Likely tweet collection; verified against official oEmbed,dataset_original_text,Not consumed by current classifier/route handlers
geo,1,Likely tweet collection; exact collector/version unknown,collection_metadata_or_contaminated_field,Carried through CSV only; not read for routing
mentions,2,Likely tweet collection; exact collector/version unknown,collection_metadata_or_contaminated_field,Carried through CSV only; not read for routing
hashtags,0,Likely tweet collection; exact collector/version unknown,collection_metadata_or_contaminated_field,Carried through CSV only; not read for routing
id,5143,Likely tweet collection; exact collector/version unknown,collection_metadata_or_contaminated_field,Carried through CSV only; not read for routing
permalink,5143,Likely tweet collection; exact collector/version unknown,collection_metadata_or_contaminated_field,Carried through CSV only; not read for routing
detected_lang,5144,Undocumented upstream process,derived_language_label,Not used to select parser text or pipeline
translated_text,5144,Undocumented translation plus English normalization/editing,translated_or_edited_parser_text,Direct classifier and process_tweet input for all 5144 records
osm_id,5144,Pre-existing lookup/scoring; provider and version not established,legacy_geocoding_metadata,Carried through CSV only; not read for routing
address,5144,Pre-existing lookup/scoring; provider and version not established,legacy_geocoding_metadata,Carried through CSV only; not read for routing
lat,5144,Pre-existing lookup/scoring; provider and version not established,legacy_geocoding_metadata,Carried through CSV only; not read for routing
lon,5144,Pre-existing lookup/scoring; provider and version not established,legacy_geocoding_metadata,Carried through CSV only; not read for routing
bbox_ne_lat,5144,Pre-existing lookup/scoring; provider and version not established,legacy_geocoding_metadata,Read as input to process_tweet; supplies final corner-to-corner fallback
bbox_ne_lon,5144,Pre-existing lookup/scoring; provider and version not established,legacy_geocoding_metadata,Read as input to process_tweet; supplies final corner-to-corner fallback
bbox_sw_lat,5144,Pre-existing lookup/scoring; provider and version not established,legacy_geocoding_metadata,Read as input to process_tweet; supplies final corner-to-corner fallback
