dataset_row,tweet_id,dataset_id_raw,tweet_url,text_from_dataset_original,text_from_live_or_archived_source,retrieval_status,retrieval_source,retrieved_at,text_match_status,text_from_dataset_translated,translated_text_match_status,http_status,error,returned_url,author_url,evidence_sha256,text_match_status_initial,source_difference_class,material_source_text_difference,possible_translation_stage_spatial_change,severe_translation_stage_inspected
2,549389894830030848,5.49E+17,https://twitter.com/dtptraffic/status/549389894830030848,Traffic Alert Traffic is now normal at Jail Road towards Hari Nagar.,"Traffic Alert 

Traffic is now normal at Jail Road towards Hari Nagar.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F549389894830030848&omit_script=true&dnt=true,2026-09-11T19:00:09.361219+00:00,MINOR_FORMATTING_DIFFERENCE,Traffic is now normal at Tilak Nagar towards Hari Nagar.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/549389894830030848,https://x.com/dtptraffic,ff3d49a342a87b0cc46bbd14140977ed94906730dbc11e22e40776a47c02c0cd,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,True,True
3,548889847658975232,5.49E+17,https://twitter.com/dtptraffic/status/548889847658975232,"Traffic Alert Now Traffic is normal at AIIMS , in the carriageway running from AIIMS towards R.K Puram .","Traffic Alert 

Now Traffic is normal at AIIMS , in the carriageway running from AIIMS towards R.K Puram .",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F548889847658975232&omit_script=true&dnt=true,2026-09-11T19:00:09.361219+00:00,MINOR_FORMATTING_DIFFERENCE,"Now Traffic is normal at AIIMS , in the carriageway running from AIIMS towards R.K. Puram .",TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/548889847658975232,https://x.com/dtptraffic,50afe4ba10b0d9175c31d2a116c59baa016658f68b0ac6c1847a85bf804c11e8,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
4,548888778723442689,5.49E+17,https://twitter.com/dtptraffic/status/548888778723442689,Traffic Alert पटेल चौक से जी. पी. ओ. की तरफ अब यातायात सामान्य है|,"Traffic Alert 

पटेल चौक से जी. पी. ओ. की तरफ  अब यातायात सामान्य है|",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F548888778723442689&omit_script=true&dnt=true,2026-09-11T19:00:09.366117+00:00,MINOR_FORMATTING_DIFFERENCE,Got from Patel Chowk P.O. Now traffic is normal.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/548888778723442689,https://x.com/dtptraffic,bd14c6c593c7b00f7b2a5f8c240f088e0d204e148767c710b36b78ccdc8bf26f,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,True,True
5,548887867519283200,5.49E+17,https://twitter.com/dtptraffic/status/548887867519283200,Traffic Alert लाजपत नगर थाने के पास अब यातायात सामान्य है|,"Traffic Alert 

लाजपत नगर थाने के पास अब यातायात सामान्य है|",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F548887867519283200&omit_script=true&dnt=true,2026-09-11T19:00:09.366117+00:00,MINOR_FORMATTING_DIFFERENCE,Lajpat Nagar police station now has normal traffic.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/548887867519283200,https://x.com/dtptraffic,b099097c720a38f0d59ab0ccef3f1ad82fa2be23491ee4123b8492df9e84ee52,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,True,False
6,548887585352056834,5.49E+17,https://twitter.com/dtptraffic/status/548887585352056834,Traffic Alert श्यामलाल कॉलेज से बिहारी कालोनी (रोड नंबर 57) पर अब यातायात सामान्य है|,"Traffic Alert 

श्यामलाल कॉलेज से बिहारी कालोनी (रोड नंबर 57) पर अब यातायात सामान्य है|",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F548887585352056834&omit_script=true&dnt=true,2026-09-11T19:00:09.366117+00:00,MINOR_FORMATTING_DIFFERENCE,Shyamlal College is now normal on Bihari Colony (Road No 57).,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/548887585352056834,https://x.com/dtptraffic,4e1805bc01f9095465bd790b0a1338e06110392a1f6ee6586192d3db54b75732,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,True,True
7,548886990297391104,5.49E+17,https://twitter.com/dtptraffic/status/548886990297391104,Traffic Alert धौला कुआं से AIIMS की तरफ पालिका प्लेस के पास अब यातायात सामान्य है |,"Traffic Alert 

धौला कुआं से AIIMS की तरफ पालिका प्लेस के पास अब यातायात सामान्य है |",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F548886990297391104&omit_script=true&dnt=true,2026-09-11T19:00:09.369534+00:00,MINOR_FORMATTING_DIFFERENCE,"Dhaula Kuan, on the AIIMS side, the traffic is now near the municipality.",TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/548886990297391104,https://x.com/dtptraffic,ab833321457c8ec25541a1720a90233301f730596389b67967669487deb4be90,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,True,True
8,548787346703802369,5.49E+17,https://twitter.com/dtptraffic/status/548787346703802369,"Traffic Alert मेट्रो का काम चलने के कारण श्यामलाल कॉलेज से बिहारी कालोनी (रोड नंबर 57) तक यातायात ज्यादा रहेगा, असुविधा के लिए खेद है|","Traffic Alert

मेट्रो का काम चलने के कारण श्यामलाल कॉलेज से बिहारी कालोनी (रोड नंबर 57) तक यातायात ज्यादा रहेगा, असुविधा के लिए खेद है|",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F548787346703802369&omit_script=true&dnt=true,2026-09-11T19:00:09.371695+00:00,MINOR_FORMATTING_DIFFERENCE,"Due to the work of Metro, traffic from Shyamlal College to Bihari Colony (Road No 57) will be high, sorry for the inconvenience.",TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/548787346703802369,https://x.com/dtptraffic,2cd2f3db8f07724bb6d893f0ecf77489f57416f2aced6b4d6a038729aaf2c731,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
9,548784755244683265,5.49E+17,https://twitter.com/dtptraffic/status/548784755244683265,Traffic Alert लाजपत नगर थाने के सामने MTNL वालो ने एक गड्डा खोद दिया है | जिससे यातायात मे बाधा है|,"Traffic Alert 

लाजपत नगर थाने के सामने MTNL वालो ने एक गड्डा खोद दिया है | जिससे यातायात मे बाधा है|",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F548784755244683265&omit_script=true&dnt=true,2026-09-11T19:00:09.371695+00:00,MINOR_FORMATTING_DIFFERENCE,"In front of Lajpat Nagar police station, MTNL Vallo has dug a hole. There is a hindrance in traffic.",TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/548784755244683265,https://x.com/dtptraffic,2a2dc7bcc24c11fdff6d41628ae1f6657380cc2cd65ee3edf7cbe090ecf51ac4,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
10,548526994343075840,5.49E+17,https://twitter.com/dtptraffic/status/548526994343075840,Traffic Alert Break down DTC bus No. DL1PC8733 has been removed from Kalkaji near foot over bridge. Traffic is normal now.,"Traffic Alert 

Break down DTC bus No. DL1PC8733 has been removed from Kalkaji near foot over bridge. Traffic is normal now.",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F548526994343075840&omit_script=true&dnt=true,2026-09-11T19:00:10.301485+00:00,MINOR_FORMATTING_DIFFERENCE,Break down DTC bus No. DL1PC8733 has been removed from Kalkaji near foot over bridge. Traffic is normal now.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/548526994343075840,https://x.com/dtptraffic,f0a379c8fe4cf6e4872f8bb6393a47cd5bc781fb4eec7fa247505b840b29aefd,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
11,548427897758048257,5.48E+17,https://twitter.com/dtptraffic/status/548427897758048257,Traffic Alert बाल भवन गुरुद्वारा माता सुन्दरी मंडोर के पास बाजार लगा हुआ है जिसकी वजह से यातायात बाधित रहेगा| असुविधा के लिए खेद हैं|,"Traffic Alert 

बाल भवन गुरुद्वारा माता सुन्दरी मंडोर के पास बाजार लगा हुआ है जिसकी वजह से यातायात बाधित रहेगा| असुविधा के लिए खेद हैं|",RETRIEVED,https://publish.twitter.com/oembed?url=https%3A%2F%2Ftwitter.com%2Fdtptraffic%2Fstatus%2F548427897758048257&omit_script=true&dnt=true,2026-09-11T19:00:10.366721+00:00,MINOR_FORMATTING_DIFFERENCE,Bal Bhavan Gurdwara Mata Sunderi Mandor has a market near which the traffic will be interrupted. Sorry for the inconvenience.,TEXT_DIFFERENCE,200,,https://x.com/dtptraffic/status/548427897758048257,https://x.com/dtptraffic,fb0865dfa56dcfa82c4db2a26613a7447024eea4bbbf60c17bf35f2ed01e086e,MINOR_FORMATTING_DIFFERENCE,MINOR_FORMATTING_DIFFERENCE,False,False,False
